range_km,range_miles,battery_kwh,battery_wh,charge_time_min,charge_time_hours,production_year,num_recalls,is_premium
391.63,,94.56,,21.39,,2023,1,0
438.45,,73.23,,84.3,,2024,4,0
359.34,,79.36,,76.89,,2024,1,0
454.31,,56.12,,99.27,,2021,2,0
451.1,,68.21,,77.51,,2023,1,0
471.51,,69.3,,64.89,,2021,1,0
396.79,,61.83,,82.28,,2024,1,0
412.31,,66.64,,8.07,,2023,1,1
457.78,,70.93,,17.51,,2019,2,1
404.61,,66.95,,48.33,,2021,1,1
352.43,,98.02,,107.76,,2023,1,1
355.33,,77.12,,46.17,,2020,2,0
393.12,,92.01,,9.79,,2022,2,1
309.02,,86.93,,121.56,,2020,1,0
372.12,,65.61,,60.0,,2023,1,1
440.31,,72.38,,52.95,,2019,2,1
259.48,,67.65,,60.38,,2023,3,0
464.4,,70.38,,45.2,,2021,2,0
441.73,,62.24,,8.0,,2022,0,0
354.71,,67.58,,12.29,,2022,1,0
409.89,,75.6,,131.74,,2020,0,0
380.17,,75.33,,14.3,,2024,3,0
447.65,,74.53,,62.02,,2018,4,0
434.05,,71.4,,23.2,,2021,2,0
303.0,,80.61,,100.0,,2019,1,0
412.3,,69.43,,34.26,,2021,1,1
368.69,,85.92,,41.97,,2019,0,0
384.56,,53.52,,11.51,,2021,1,0
339.95,,78.57,,8.0,,2020,4,1
476.15,,76.88,,59.34,,2022,2,0
437.2,,65.25,,8.0,,2018,3,1
339.31,,68.45,,53.74,,2022,1,0
306.6,,76.65,,34.05,,2021,0,0
358.79,,81.16,,72.03,,2021,1,0
403.9,,54.51,,9.68,,2021,3,0
393.21,,78.28,,32.75,,2023,2,1
448.92,,67.42,,40.0,,2023,3,1
423.45,,83.25,,8.0,,2021,1,0
433.33,,53.61,,56.41,,2024,1,0
397.98,,96.45,,20.69,,2023,1,1
303.59,,63.14,,8.0,,2022,0,0
369.24,,86.3,,20.56,,2019,0,0
438.3,,71.31,,8.0,,2022,1,0
377.17,,63.81,,91.95,,2023,1,0
407.67,,74.65,,25.63,,2020,0,1
362.47,,82.29,,8.0,,2024,2,0
323.36,,56.47,,12.2,,2021,2,0
373.22,,79.02,,54.17,,2020,1,0
397.0,,71.88,,64.77,,2022,0,0
343.94,,77.77,,8.0,,2022,1,0
367.04,,72.11,,8.0,,2023,1,0
328.33,,66.28,,104.63,,2020,2,1
441.56,,60.87,,16.88,,2018,0,0
363.8,,78.73,,9.02,,2022,1,0
459.9,,78.67,,8.0,,2020,1,0
464.08,,78.62,,27.14,,2020,0,0
375.54,,76.28,,61.92,,2023,2,0
324.54,,81.45,,30.92,,2021,3,0
265.28,,86.06,,8.0,,2024,1,0
299.04,,53.24,,27.78,,2022,0,1
304.44,,48.58,,15.69,,2023,0,1
455.82,,89.18,,48.23,,2021,0,0
386.37,,58.59,,31.13,,2020,2,1
401.43,,61.14,,141.21,,2020,1,0
257.88,,69.12,,38.29,,2023,0,0
314.11,,55.46,,42.04,,2023,2,0
428.79,,68.18,,30.85,,2022,2,1
395.77,,62.52,,15.65,,2023,2,0
371.9,,69.67,,41.83,,2024,2,1
411.07,,74.8,,17.0,,2022,1,0
469.97,,68.56,,53.07,,2023,0,1
367.84,,68.06,,11.35,,2024,0,0
383.82,,74.58,,19.25,,2019,1,0
390.59,,82.44,,36.8,,2018,0,0
511.57,,88.03,,41.59,,2022,0,0
264.54,,69.81,,46.39,,2021,2,0
417.58,,90.25,,50.61,,2019,1,0
373.69,,80.77,,16.09,,2020,1,0
411.17,,59.68,,93.7,,2021,2,1
343.84,,59.39,,8.0,,2019,2,0
377.31,,66.23,,8.77,,2021,2,0
419.13,,86.45,,8.0,,2020,5,1
551.21,,66.99,,46.76,,2023,1,0
424.44,,53.08,,13.43,,2023,1,0
333.36,,69.71,,9.33,,2023,0,0
356.69,,52.19,,27.52,,2024,1,0
355.06,,61.45,,40.53,,2018,2,0
281.24,,66.13,,40.56,,2020,1,1
361.85,,73.5,,34.24,,2024,3,0
420.31,,82.24,,202.72,,2018,3,0
309.92,,78.94,,82.64,,2023,1,0
437.67,,60.21,,11.46,,2020,2,0
406.83,,68.28,,59.71,,2022,1,0
339.62,,72.76,,35.38,,2024,2,1
372.22,,69.38,,8.0,,2023,2,1
467.91,,69.31,,8.0,,2021,0,0
420.35,,54.77,,67.52,,2023,3,0
380.48,,60.47,,33.07,,2018,1,1
366.93,,67.97,,35.58,,2024,0,1
384.21,,41.07,,17.21,,2021,0,0
351.85,,78.41,,111.9,,2024,0,0
264.24,,58.27,,52.48,,2023,0,1
492.32,,78.87,,110.37,,2021,0,1
388.54,,77.99,,8.0,,2023,2,1
401.9,,66.56,,36.81,,2021,1,1
376.82,,82.01,,42.62,,2023,1,0
339.57,,79.43,,8.0,,2023,2,0
369.77,,68.91,,17.85,,2022,0,0
292.03,,67.78,,10.16,,2020,2,0
505.24,,82.97,,174.9,,2024,1,1
312.1,,74.32,,32.93,,2022,0,0
323.24,,82.45,,15.91,,2020,1,0
355.79,,48.11,,45.87,,2023,2,1
450.84,,72.98,,45.25,,2023,0,0
380.8,,56.23,,17.92,,2024,2,1
312.01,,71.74,,214.34,,2018,1,1
448.99,,79.14,,69.52,,2021,0,1
420.21,,89.39,,21.48,,2021,3,0
409.61,,62.62,,45.32,,2024,0,1
419.37,,66.74,,52.07,,2021,0,0
511.69,,71.04,,8.02,,2022,1,0
500.18,,62.25,,88.41,,2018,1,0
342.23,,81.79,,73.45,,2024,0,1
469.31,,71.3,,59.19,,2019,1,0
401.07,,73.22,,10.58,,2024,0,0
407.45,,78.2,,8.0,,2023,0,0
286.93,,71.28,,8.36,,2022,3,0
370.63,,63.82,,8.0,,2023,1,0
335.29,,71.37,,118.37,,2023,1,0
425.54,,63.44,,80.1,,2023,0,1
438.91,,73.08,,8.0,,2023,3,0
265.9,,81.97,,47.59,,2024,2,1
378.79,,60.25,,11.84,,2022,3,0
441.7,,56.68,,8.0,,2022,1,1
369.73,,72.49,,14.53,,2024,1,0
420.1,,64.32,,24.35,,2021,1,1
399.31,,72.32,,8.0,,2023,5,1
398.79,,75.2,,16.43,,2021,2,1
365.08,,50.56,,50.62,,2022,2,1
313.09,,78.9,,10.89,,2021,2,0
318.32,,60.3,,27.86,,2020,0,0
419.01,,71.78,,91.79,,2024,0,0
381.07,,65.41,,8.0,,2022,0,0
372.38,,66.48,,64.68,,2021,1,0
356.69,,88.94,,20.34,,2023,1,0
363.21,,75.19,,32.72,,2019,1,0
437.58,,81.05,,11.02,,2022,0,1
361.56,,73.51,,36.33,,2022,1,1
306.24,,78.2,,55.1,,2020,0,0
420.9,,76.17,,9.45,,2024,0,0
368.73,,74.54,,17.66,,2022,2,0
381.73,,83.07,,35.19,,2020,1,0
468.42,,73.57,,22.65,,2024,1,1
378.87,,94.85,,14.57,,2021,2,0
395.91,,81.61,,25.24,,2023,1,0
315.16,,60.6,,14.43,,2023,1,1
367.92,,70.23,,15.09,,2020,1,0
413.52,,75.97,,39.62,,2019,1,1
294.45,,72.44,,27.23,,2023,1,1
391.05,,78.87,,47.47,,2023,2,1
385.54,,79.97,,76.3,,2020,2,0
382.27,,58.4,,120.29,,2020,0,0
437.04,,84.81,,8.0,,2019,0,0
398.39,,67.03,,41.33,,2020,1,0
461.29,,66.04,,36.68,,2022,0,1
325.35,,66.01,,84.71,,2020,2,1
387.48,,80.09,,95.02,,2021,1,0
384.65,,69.33,,60.03,,2022,1,0
321.19,,65.36,,38.01,,2022,1,1
432.6,,67.76,,9.33,,2024,1,0
507.86,,54.05,,13.6,,2022,0,1
379.06,,63.58,,38.78,,2020,2,1
407.78,,59.6,,8.0,,2021,3,0
384.65,,69.31,,8.54,,2021,2,0
340.75,,78.64,,101.81,,2021,3,0
279.86,,77.54,,131.49,,2021,1,1
341.18,,84.57,,8.0,,2022,1,0
303.44,,82.34,,83.33,,2020,2,0
473.73,,66.71,,116.8,,2021,2,0
373.67,,72.19,,31.33,,2023,1,1
360.97,,71.67,,25.03,,2024,1,1
428.9,,50.49,,105.46,,2018,1,0
318.3,,59.83,,8.0,,2019,2,0
337.82,,70.33,,77.1,,2024,3,0
383.74,,70.27,,14.78,,2020,2,0
436.58,,77.12,,43.05,,2021,1,1
407.59,,76.64,,16.4,,2021,2,0
393.66,,54.29,,31.09,,2024,1,0
384.3,,77.19,,69.38,,2020,2,0
402.01,,73.79,,8.4,,2024,2,0
391.09,,78.23,,45.8,,2022,1,1
323.35,,82.67,,96.02,,2023,1,0
382.53,,70.57,,97.15,,2023,0,1
320.95,,84.46,,94.31,,2023,3,0
384.46,,63.11,,30.69,,2019,0,1
353.56,,62.54,,61.31,,2021,1,0
519.67,,76.29,,24.87,,2020,1,1
377.81,,68.31,,25.89,,2019,0,0
302.77,,74.62,,14.02,,2023,1,1
372.62,,91.93,,14.1,,2023,0,1
408.56,,75.93,,8.0,,2020,1,0
472.04,,74.12,,31.84,,2023,1,1
347.58,,63.31,,15.51,,2021,1,0
292.97,,55.0,,8.73,,2021,0,0
424.93,,71.27,,8.0,,2024,0,0
304.07,,82.67,,17.9,,2020,1,0
356.01,,68.77,,96.3,,2019,1,0
365.83,,76.01,,30.51,,2021,2,0
376.17,,86.26,,34.19,,2024,0,0
417.9,,86.02,,8.0,,2019,1,0
342.4,,76.29,,30.81,,2023,0,0
364.94,,73.7,,46.26,,2023,1,0
379.22,,56.81,,8.0,,2024,1,1
388.23,,65.7,,172.52,,2022,0,1
385.38,,69.19,,103.59,,2022,0,0
403.98,,63.48,,209.02,,2024,2,0
426.41,,74.48,,18.76,,2020,2,0
401.59,,91.12,,72.56,,2022,2,1
404.95,,87.18,,16.74,,2023,1,1
292.98,,74.44,,58.08,,2023,0,1
382.76,,79.79,,124.04,,2019,0,1
406.37,,64.71,,8.0,,2024,3,0
420.09,,86.64,,8.0,,2024,1,0
341.92,,56.38,,8.0,,2021,3,0
343.75,,81.13,,67.25,,2022,1,0
348.42,,76.96,,46.14,,2021,1,0
409.5,,64.44,,31.03,,2024,2,1
436.86,,69.91,,62.45,,2022,1,1
357.59,,60.66,,79.66,,2021,1,0
429.94,,61.08,,125.43,,2023,3,1
386.79,,56.09,,9.44,,2024,2,0
373.16,,79.68,,24.48,,2023,2,0
368.37,,84.05,,107.69,,2019,3,0
421.06,,50.38,,25.98,,2021,2,0
397.91,,90.38,,28.09,,2021,3,0
505.17,,71.88,,119.91,,2020,0,0
333.13,,74.9,,55.73,,2022,1,0
408.5,,57.28,,33.73,,2021,0,1
350.89,,85.21,,18.57,,2018,3,0
332.19,,74.0,,103.71,,2023,1,1
379.4,,83.39,,8.0,,2022,0,0
387.55,,84.21,,16.26,,2018,1,0
540.5,,85.35,,122.65,,2024,1,0
369.87,,65.52,,28.96,,2023,1,1
317.84,,69.92,,41.07,,2019,1,0
395.02,,65.88,,31.95,,2024,0,0
265.89,,80.95,,21.27,,2022,0,0
374.94,,75.33,,45.97,,2020,1,1
380.88,,82.69,,61.09,,2018,0,0
423.7,,83.13,,19.04,,2023,0,0
433.55,,54.73,,37.5,,2024,1,1
352.3,,85.51,,8.0,,2020,1,0
371.72,,81.51,,33.31,,2022,2,1
337.86,,68.31,,57.85,,2020,3,1
317.96,,75.5,,36.96,,2022,1,0
397.04,,70.76,,88.51,,2024,3,0
309.95,,78.16,,14.16,,2020,4,1
357.2,,68.29,,28.43,,2021,0,0
325.27,,76.79,,8.0,,2020,3,1
410.23,,72.67,,50.57,,2020,1,1
479.08,,67.68,,24.57,,2019,1,0
308.41,,73.9,,31.74,,2023,2,0
278.08,,99.06,,8.0,,2018,0,0
373.13,,65.14,,240.0,,2023,1,0
380.86,,69.5,,62.08,,2020,1,1
392.03,,65.32,,21.5,,2021,0,1
355.45,,66.37,,35.44,,2021,2,0
368.96,,80.16,,40.5,,2021,1,1
400.21,,79.16,,136.0,,2020,0,1
437.22,,71.94,,61.43,,2022,0,0
272.47,,82.26,,18.07,,2024,1,0
359.71,,79.93,,159.74,,2022,0,1
391.76,,70.38,,15.09,,2018,1,0
329.51,,56.66,,36.13,,2021,0,0
475.21,,80.3,,50.66,,2022,1,0
345.05,,73.7,,13.28,,2021,2,0
377.73,,72.22,,131.54,,2021,0,0
410.58,,67.34,,10.23,,2020,2,0
347.48,,79.45,,24.49,,2024,0,0
278.44,,75.48,,8.33,,2022,1,0
356.42,,69.63,,87.33,,2022,1,1
436.62,,59.75,,10.52,,2022,1,0
361.47,,82.68,,8.0,,2023,0,1
333.45,,78.05,,8.0,,2022,2,0
430.91,,74.55,,22.43,,2023,0,1
361.81,,45.43,,31.07,,2019,3,0
351.94,,71.62,,8.0,,2018,0,1
388.22,,69.59,,8.0,,2022,0,0
422.39,,65.82,,8.0,,2023,3,0
510.99,,79.54,,46.37,,2023,0,0
425.5,,79.15,,14.97,,2021,0,0
443.79,,76.37,,34.73,,2018,4,0
352.17,,82.38,,8.0,,2019,0,0
323.58,,61.78,,93.52,,2021,2,0
383.43,,67.46,,15.25,,2023,1,1
385.89,,72.75,,63.25,,2021,1,0
320.68,,65.78,,73.62,,2022,1,0
370.36,,79.27,,185.44,,2020,2,0
401.96,,66.78,,56.75,,2020,2,0
399.82,,84.98,,24.56,,2023,1,1
407.74,,62.69,,8.0,,2022,0,0
396.0,,93.32,,8.0,,2024,1,0
352.11,,92.29,,91.3,,2020,0,0
351.74,,71.05,,24.86,,2022,0,0
314.06,,83.46,,58.22,,2020,1,0
478.16,,68.0,,28.81,,2021,2,0
380.74,,82.13,,88.93,,2023,1,0
367.63,,70.24,,58.17,,2024,1,0
328.92,,59.15,,8.0,,2019,3,0
541.46,,36.67,,58.59,,2019,0,0
320.97,,69.31,,13.03,,2024,1,1
356.41,,74.79,,62.29,,2023,0,0
402.87,,85.3,,124.59,,2021,1,0
413.01,,72.37,,111.77,,2022,0,1
432.69,,82.03,,8.0,,2023,2,1
479.42,,67.46,,8.0,,2023,0,1
407.84,,68.63,,63.02,,2023,1,0
321.92,,82.54,,51.99,,2024,1,0
365.87,,47.35,,8.14,,2021,3,0
396.93,,72.13,,48.46,,2020,1,1
493.75,,68.0,,8.0,,2022,3,1
303.12,,85.61,,41.89,,2018,2,1
446.14,,66.72,,75.0,,2022,1,0
389.9,,77.17,,43.12,,2021,1,0
426.08,,81.22,,8.0,,2020,0,0
374.39,,57.07,,197.71,,2024,0,0
333.67,,70.61,,18.49,,2020,1,0
421.3,,67.68,,20.11,,2023,1,1
415.99,,81.46,,8.0,,2023,4,0
433.46,,78.75,,8.0,,2018,1,0
379.27,,69.67,,13.29,,2022,0,0
347.01,,61.53,,67.43,,2022,0,1
294.27,,82.38,,49.43,,2024,1,0
425.07,,71.32,,36.8,,2023,0,0
403.31,,55.82,,83.76,,2019,3,0
326.88,,56.68,,240.0,,2022,1,0
350.38,,76.38,,20.4,,2021,2,1
354.33,,59.24,,20.84,,2020,3,0
298.44,,90.6,,55.95,,2021,0,1
335.03,,62.63,,43.42,,2024,2,0
317.64,,72.0,,8.0,,2023,4,0
357.31,,73.59,,44.75,,2022,0,0
339.37,,64.71,,53.41,,2023,1,1
290.51,,49.6,,179.1,,2024,1,1
491.24,,73.91,,37.12,,2024,0,0
448.89,,64.47,,48.44,,2019,0,1
337.15,,73.17,,65.3,,2021,0,1
394.98,,70.78,,8.0,,2021,2,1
402.96,,74.63,,55.72,,2022,0,0
445.51,,87.62,,33.25,,2019,2,0
334.98,,66.54,,8.0,,2024,1,1
440.07,,67.31,,46.55,,2023,2,1
349.87,,55.34,,11.22,,2019,1,0
306.53,,70.05,,32.42,,2021,2,1
419.83,,76.1,,13.85,,2020,1,1
450.99,,67.17,,8.0,,2022,0,1
522.33,,76.16,,12.13,,2024,1,1
314.02,,70.22,,24.26,,2023,4,0
418.44,,58.98,,28.62,,2023,1,0
357.46,,75.12,,8.0,,2019,1,0
423.08,,69.94,,16.26,,2024,1,1
299.12,,73.23,,82.39,,2021,1,0
310.55,,66.33,,101.31,,2024,3,0
337.33,,65.45,,32.18,,2022,0,0
384.34,,73.57,,28.31,,2022,2,0
344.74,,69.69,,36.58,,2023,1,1
416.25,,89.24,,10.14,,2021,1,0
436.48,,79.99,,211.97,,2024,2,1
412.98,,77.45,,57.44,,2024,2,0
469.03,,70.23,,11.46,,2021,1,0
402.87,,51.74,,13.34,,2018,1,0
313.07,,63.92,,43.9,,2022,0,0
454.99,,65.53,,16.37,,2022,0,1
346.72,,69.25,,18.44,,2019,5,1
430.07,,71.67,,63.77,,2023,3,0
466.56,,78.56,,13.04,,2021,0,1
405.12,,74.73,,51.31,,2024,1,1
297.71,,83.59,,114.73,,2023,2,0
329.5,,68.88,,8.0,,2019,0,1
452.75,,74.57,,8.0,,2024,2,0
370.7,,75.44,,120.22,,2020,0,0
384.38,,74.46,,9.56,,2023,2,0
421.74,,84.82,,8.0,,2023,1,1
418.3,,80.04,,85.21,,2022,1,0
395.33,,58.81,,13.93,,2024,1,0
368.52,,70.86,,14.88,,2023,1,1
362.8,,71.86,,10.81,,2024,1,1
427.18,,93.52,,104.87,,2024,1,0
410.45,,68.7,,62.54,,2023,0,0
365.85,,62.18,,38.15,,2022,1,0
439.52,,76.38,,25.36,,2019,2,1
372.9,,76.97,,8.0,,2020,1,0
333.16,,71.26,,109.35,,2022,0,0
338.26,,69.8,,58.17,,2021,1,1
326.17,,81.49,,13.73,,2020,2,0
365.02,,63.46,,123.77,,2024,1,0
447.85,,68.59,,114.93,,2024,1,0
335.72,,66.78,,45.25,,2022,1,1
390.37,,82.94,,176.4,,2024,0,0
343.88,,74.85,,8.71,,2019,0,1
365.68,,61.35,,55.21,,2019,1,1
296.95,,62.35,,8.0,,2024,3,1
367.87,,90.73,,49.42,,2023,5,0
369.35,,82.83,,106.0,,2023,5,0
409.72,,80.42,,32.26,,2024,3,0
392.28,,72.12,,60.48,,2019,0,1
314.09,,87.08,,8.0,,2023,1,1
439.63,,60.97,,42.12,,2021,0,0
391.57,,79.53,,8.0,,2024,2,1
390.91,,67.57,,8.0,,2021,3,0
379.49,,69.51,,42.22,,2023,1,0
351.52,,79.26,,35.72,,2024,0,1
391.98,,70.56,,16.77,,2021,1,0
406.16,,67.65,,30.21,,2022,0,1
283.92,,67.05,,48.43,,2022,2,1
350.37,,52.14,,43.46,,2023,0,0
365.98,,79.63,,8.0,,2024,0,0
394.09,,61.93,,47.61,,2020,3,1
445.63,,90.58,,45.25,,2024,0,1
337.55,,69.12,,46.51,,2023,0,0
352.61,,85.09,,78.94,,2020,1,0
351.81,,53.91,,36.11,,2021,1,0
335.92,,79.31,,116.72,,2021,1,0
360.9,,81.89,,164.32,,2020,1,0
422.39,,85.04,,58.54,,2023,0,0
322.04,,56.72,,18.66,,2019,1,0
403.53,,64.97,,8.0,,2022,0,0
286.4,,77.77,,72.05,,2024,1,0
349.13,,73.48,,8.0,,2021,1,0
361.88,,74.93,,8.0,,2022,1,1
472.12,,68.4,,105.58,,2020,1,0
364.89,,87.51,,34.47,,2023,2,0
258.93,,98.08,,14.58,,2024,1,0
270.06,,73.04,,138.45,,2023,1,0
381.87,,76.53,,51.61,,2019,0,0
413.76,,72.56,,32.15,,2021,1,1
400.65,,84.84,,16.79,,2020,0,0
389.22,,80.29,,47.41,,2022,2,1
443.92,,61.34,,55.13,,2023,1,0
350.32,,65.87,,52.3,,2024,1,1
429.22,,61.91,,9.13,,2022,1,0
290.24,,98.95,,50.18,,2023,1,1
330.23,,78.35,,36.58,,2019,0,0
280.61,,66.04,,79.7,,2020,4,1
364.88,,65.24,,41.17,,2020,0,0
377.46,,80.05,,8.0,,2019,1,0
386.28,,81.05,,16.11,,2022,1,0
383.4,,79.98,,57.2,,2024,0,0
328.98,,67.74,,56.57,,2023,2,0
369.54,,75.06,,10.58,,2022,1,0
297.64,,73.11,,18.39,,2022,1,0
454.98,,62.64,,8.0,,2020,2,0
363.3,,62.74,,16.93,,2019,2,0
353.11,,76.12,,8.0,,2021,0,0
467.39,,73.96,,86.63,,2021,1,1
311.68,,77.53,,46.14,,2019,0,1
318.09,,79.91,,146.1,,2023,0,0
319.71,,86.99,,93.45,,2024,0,0
376.27,,64.24,,38.85,,2020,1,0
403.74,,78.3,,29.36,,2024,0,0
420.68,,79.49,,90.38,,2021,1,0
521.46,,68.88,,14.89,,2023,0,0
256.28,,73.22,,10.63,,2019,0,0
413.48,,69.13,,22.16,,2020,0,0
349.36,,93.09,,8.0,,2020,2,0
347.75,,73.05,,15.1,,2020,3,1
345.91,,76.52,,8.0,,2024,1,0
330.02,,69.36,,8.0,,2021,2,0
472.65,,67.2,,33.66,,2020,1,1
426.33,,58.98,,51.73,,2020,2,0
381.28,,83.0,,32.31,,2023,1,0
454.31,,79.68,,8.0,,2023,1,0
296.81,,68.99,,21.1,,2024,0,0
306.81,,63.0,,8.0,,2023,0,0
260.21,,73.8,,44.1,,2022,1,1
341.53,,67.02,,73.54,,2020,1,1
388.89,,69.78,,8.0,,2018,1,1
385.66,,59.36,,8.0,,2024,0,1
388.21,,74.17,,21.87,,2023,2,0
302.39,,74.37,,15.19,,2023,1,0
424.17,,82.95,,12.69,,2021,1,1
393.18,,70.49,,9.97,,2021,0,0
420.32,,68.66,,16.01,,2023,0,1
275.9,,56.43,,141.25,,2023,0,1
397.13,,83.01,,81.88,,2023,3,0
314.67,,80.93,,38.63,,2022,2,0
358.15,,72.29,,67.7,,2021,1,1
409.39,,58.71,,8.0,,2023,0,0
385.01,,59.85,,8.0,,2021,1,1
333.17,,66.53,,14.53,,2023,5,0
380.35,,81.65,,43.37,,2020,1,1
295.77,,74.9,,90.26,,2022,2,1
443.26,,57.07,,11.04,,2021,2,0
368.71,,76.04,,8.0,,2024,4,1
441.52,,63.61,,79.1,,2022,3,1
351.04,,66.78,,22.1,,2023,1,1
351.2,,81.72,,50.5,,2019,0,1
337.97,,79.66,,33.35,,2022,3,0
428.19,,82.93,,8.13,,2023,3,1
340.98,,71.77,,50.65,,2024,0,1
415.45,,80.83,,22.93,,2023,2,0
358.97,,66.14,,14.25,,2022,2,0
271.32,,69.42,,97.86,,2021,1,0
348.63,,68.74,,8.0,,2021,3,1
315.15,,72.24,,21.8,,2022,0,0
381.86,,59.14,,15.01,,2018,2,1
314.53,,69.75,,8.0,,2024,0,0
430.93,,86.52,,8.0,,2021,2,0
374.99,,61.07,,8.0,,2023,2,0
370.23,,58.71,,29.53,,2022,2,0
416.07,,59.51,,13.95,,2023,1,1
433.01,,98.62,,76.41,,2023,1,1
378.89,,76.65,,11.53,,2021,1,1
337.58,,69.3,,53.5,,2023,2,1
282.43,,72.68,,9.92,,2023,1,1
342.27,,74.28,,8.0,,2023,0,0
346.05,,65.6,,12.91,,2022,2,1
385.89,,66.83,,76.33,,2023,2,0
361.02,,70.42,,8.0,,2021,3,0
417.84,,64.75,,17.74,,2019,2,0
346.29,,68.03,,8.0,,2019,0,0
376.86,,75.53,,41.79,,2022,5,1
445.12,,62.03,,120.14,,2021,3,0
398.8,,98.1,,20.37,,2020,5,0
376.7,,79.53,,36.13,,2021,0,1
346.89,,59.3,,25.28,,2022,5,0
345.17,,47.22,,152.22,,2022,3,0
333.22,,65.12,,55.94,,2019,1,1
350.24,,78.84,,8.0,,2024,0,0
421.56,,76.9,,8.0,,2021,3,1
367.8,,70.89,,26.7,,2023,2,1
305.76,,65.99,,41.96,,2021,0,0
477.25,,62.96,,14.41,,2023,3,1
397.6,,67.97,,47.16,,2022,3,1
302.62,,61.88,,36.09,,2021,2,0
355.7,,68.01,,23.99,,2024,2,0
386.1,,85.31,,36.67,,2024,2,0
473.75,,64.29,,104.26,,2020,2,0
319.05,,78.11,,11.7,,2023,0,0
433.68,,79.63,,65.79,,2023,4,0
456.97,,61.2,,8.0,,2018,1,0
345.42,,63.57,,8.0,,2024,0,1
364.74,,82.69,,125.56,,2020,2,0
323.0,,62.74,,50.25,,2024,1,0
368.81,,71.43,,42.14,,2023,0,0
377.99,,92.4,,17.08,,2022,0,0
416.28,,81.8,,8.56,,2023,0,0
439.96,,72.85,,20.07,,2023,0,0
338.85,,80.41,,38.32,,2023,0,1
271.8,,71.44,,42.26,,2024,3,0
378.83,,82.18,,8.0,,2022,3,1
396.14,,51.54,,24.77,,2022,1,1
393.72,,70.61,,35.13,,2024,0,1
362.03,,51.14,,135.15,,2023,0,1
386.86,,73.61,,33.48,,2018,1,0
463.35,,69.64,,36.5,,2023,3,0
401.0,,85.61,,60.86,,2024,4,0
359.46,,79.12,,22.8,,2023,3,0
352.49,,66.74,,20.34,,2022,1,0
370.66,,67.94,,37.54,,2020,1,0
470.02,,75.81,,64.23,,2024,0,0
369.92,,66.27,,42.63,,2023,0,0
378.91,,71.68,,8.65,,2019,3,0
353.47,,85.17,,21.29,,2024,2,0
440.44,,63.71,,30.18,,2022,1,0
487.79,,67.52,,31.16,,2020,0,0
404.78,,68.93,,17.43,,2020,1,0
384.55,,103.58,,31.04,,2024,1,0
382.02,,78.08,,46.94,,2022,0,1
248.86,,83.32,,26.5,,2022,2,0
420.98,,79.68,,25.21,,2022,0,0
387.38,,80.35,,67.93,,2023,2,0
403.56,,76.74,,59.39,,2021,0,0
340.87,,75.65,,23.05,,2022,0,0
358.85,,57.49,,232.04,,2023,0,1
357.39,,75.58,,8.0,,2022,2,0
436.19,,70.92,,16.57,,2023,0,0
359.17,,77.45,,8.0,,2024,3,0
494.55,,71.29,,76.83,,2024,1,0
403.7,,79.63,,59.18,,2022,1,0
309.84,,81.4,,48.34,,2020,0,0
372.93,,42.88,,10.14,,2021,2,1
344.16,,67.66,,51.66,,2024,0,0
259.31,,53.43,,18.44,,2019,0,0
467.97,,74.39,,85.23,,2018,2,0
418.67,,68.99,,9.35,,2023,0,0
409.33,,85.56,,10.32,,2024,1,0
389.1,,74.07,,135.81,,2020,2,0
303.99,,67.14,,30.57,,2019,2,1
353.4,,81.39,,24.83,,2024,2,1
426.3,,68.82,,18.21,,2021,2,0
322.18,,67.02,,74.72,,2022,0,1
240.75,,75.94,,18.27,,2024,2,0
367.51,,88.13,,18.49,,2021,0,0
372.2,,80.54,,8.0,,2023,0,0
387.46,,77.67,,30.89,,2024,3,0
420.07,,99.51,,108.1,,2023,1,1
415.07,,64.68,,132.69,,2021,1,0
394.23,,64.45,,227.1,,2023,3,0
445.75,,73.46,,26.91,,2018,1,0
296.46,,87.15,,62.64,,2020,4,0
407.75,,62.58,,33.77,,2023,0,1
414.46,,89.55,,33.35,,2021,1,1
311.82,,57.61,,68.93,,2019,1,0
297.34,,70.79,,75.77,,2021,0,0
338.97,,73.73,,8.0,,2020,1,1
343.62,,63.17,,120.16,,2022,1,1
421.44,,65.79,,72.72,,2019,2,1
346.2,,79.97,,53.63,,2024,0,0
332.9,,86.42,,80.25,,2023,0,0
346.36,,50.85,,32.37,,2021,0,1
441.52,,73.8,,62.33,,2022,2,0
380.72,,70.87,,38.34,,2024,4,0
370.14,,73.07,,32.88,,2024,0,0
373.95,,68.83,,9.99,,2019,0,1
451.06,,59.1,,78.96,,2023,2,1
338.8,,87.42,,90.43,,2020,3,0
452.35,,83.59,,148.98,,2018,0,1
391.58,,70.96,,8.0,,2019,3,1
371.18,,67.12,,14.48,,2022,1,0
517.55,,65.91,,48.57,,2021,1,0
321.94,,46.14,,81.17,,2019,1,1
360.55,,75.54,,58.44,,2022,1,1
312.22,,79.8,,25.54,,2022,3,0
432.39,,73.38,,54.37,,2023,1,0
472.91,,71.14,,8.0,,2023,1,0
471.85,,73.33,,45.62,,2022,0,1
447.32,,63.47,,8.0,,2021,2,0
369.13,,67.0,,8.0,,2018,1,0
359.91,,70.34,,59.47,,2024,2,0
288.09,,78.97,,27.27,,2021,0,0
491.97,,85.79,,8.0,,2020,0,0
405.79,,69.71,,27.62,,2023,0,0
352.94,,61.55,,8.0,,2019,1,1
